,Make,Model,Variant,Ex-Showroom_Price,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Height,Width,Doors,City_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
1078,Hyundai,Xcent,Sx 1.2 Crdi (O),875358.00,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43,1520,1660,4,19,,1100,Ventilated Disc,Drum,Mc Pherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,175/60R15,175/60R15,Electric Power,All Windows,,Smart Key,72PS@4000rpm,190NM@1750-2250RPM,Digital,Analog,Analog,Yes,5,Fabric,Manual,2425,Yes,2,CD Player with USB & Aux-in,1,,2 years / Unlimited Kms,1,"With Remote, Internal",407,1,1,Digital,Front & Rear,1,Front & Rear,1,"3rd /4th Years / up to80,000 Kms (Whichever comes earlier)",1,Internal,Analog,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Second Row,1530 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors with camera,Yes,Yes,,,,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,Cup Holders,,,Yes,,,,,,,Yes,,,,,,,,,
1079,Hyundai,Xcent,E Crdi,673261.00,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43,1520,1660,4,19,,1100,Ventilated Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,1479 mm,1493 mm,165/65R14,165/65R14,Electric Power,Only Front Windows,,,75PS@4000rpm,190NM@1750-2250RPM,Digital,Analog,Analog,2,5,Fabric,Manual,2425,,1,Not on offer,,,,,Internal,407,,1,Digital,Front,1,Front & Rear,1,"3rd /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",,Internal,Analog,Manual,Analog + Digital,1,5.2 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Second Row,1530 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,,,,,Yes,,,,,,,Yes,,,,,,Cup Holders,,,Yes,,,,,,,,,,,,,,,,
1080,Nissan,Micra,Xl (O) Cvt,662880.00,12,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,41,1530,1665,5,,,930,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,165/70 R14,165/70 R14,Electric Power,All Windows,,Remote,77PS@6000rpm,104Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450,,1,CD Player with USB & Aux-in,,1,24 months /50000 Kms (whichever comes first),1,Internal,251,1,,Digital,Front,1,Front,1,2 years / 80000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4.65 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,9.8,Rake,,,Rear sensors,Yes,Yes,,,Yes,,Multifunction Steering Wheel,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Nissan,Micra,Xv Cvt,781686.00,12,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,41,1530,1665,5,,,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,175/60R15,175/60R15,Electric Power,All Windows,,Remote,77PS@6000rpm,104Nm@4400rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450,Yes,1,CD Player with USB & Aux-in,1,,24 months /50000 Kms (whichever comes first),1,Internal,251,1,,Digital,Front & Rear,1,Front,1,2 years / 80000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4.65 meter,1,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,9.8,Rake,,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Manual Adjustment,,,,,,,Yes,,,,,Yes,,,,,,,,,,,
1082,Nissan,Micra,Xld (O),743504.00,8,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,41,1525,1665,5,,,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,165/70 R14,165/70 R14,Electric Power,All Windows,,Remote,64PS@4000rpm,160Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450,,1,CD Player with USB & Aux-in,1,1,24 months /50000 Kms (whichever comes first),1,Internal,251,1,,Digital,Front & Rear,1,Front & Rear,1,2 years / 80000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4.65 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,Yes,Yes,,,,,Multifunction Steering Wheel,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
1083,Nissan,Micra,Xvd,812964.00,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,41,1525,1665,5,19.5,,1001,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,1470 mm,1475 mm,175/60R15,175/60R15,Electric Power,All Windows,,Remote,64PS@4000rpm,160Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450,Yes,1,CD Player with USB & Aux-in,1,,24 months /50000 Kms (whichever comes first),1,Internal,251,1,,Digital,Front & Rear,1,Front,1,2 years / 80000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4.65 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1425 kg,"Driver frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Manual Adjustment,,,,,,,Yes,,,,,,,Yes,,,,,,,,,
1084,Mahindra,Bolero,Zlx,942263.00,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60,1880,1745,5,9.4,,1615,Ventilated Disc,Drum,"Independent with Coil Spring mounted on Struts, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar",Ellipitical leaf springs,1460 mm,1355 mm,215/75R15,215/75R15,Yes,All Windows,,Remote,63PS@3200rpm,195Nm@1400-2200rpm,Digital,Digital,Digital,Yes,7,Fabric,Manual,2680,,1,CD/MP3 Player,,,2 years / Unlimited Kms,,Manual,1702,1,1,Digital,Front,1,Front,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,5.8 meter,1,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,,,1965 kg,,Yes,,Yes,,,18:01,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,
1085,Mahindra,Bolero,Slx,917055.00,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60,1880,1745,5,12.3,,1615,Ventilated Disc,Drum,"Independent with Coil Spring mounted on Struts, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar",Ellipitical leaf springs,,,215/75R15,215/75R15,Yes,All Windows,,Remote,63PS@3200rpm,195Nm@1400-2200rpm,Digital,Digital,Digital,Yes,7,Fabric,Manual,2680,,1,CD/MP3 Player,,,2 years / Unlimited Kms,,Manual,,1,1,Digital,Front,1,Front,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,5.8 meter,1,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,
1086,Mahindra,Bolero,Sle,860720.00,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60,1880,1745,5,12.3,,1615,Ventilated Disc,Drum,"Independent with Coil Spring mounted on Struts, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar",Ellipitical leaf springs,,,215/75R15,215/75R15,Yes,,,,63PS@3200rpm,195Nm@1400-2200rpm,Digital,Digital,Digital,Yes,7,Fabric,Manual,2680,,,Not on offer,,,2 years / Unlimited Kms,,Manual,,,1,Digital,Not on offer,1,,1,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,1,5.8 meter,1,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,
1087,Mahindra,Bolero,Ex,815883.00,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60,1910,1745,5,9.4,,1615,Ventilated Disc,Drum,Rigid leaf spring,Rigid leaf spring,,,215/75R15,215/75R15,,,,,63PS@3200rpm,195Nm@1400-2200rpm,Digital,Yes,Digital,Yes,7,Fabric,Manual,2794,,,Not on offer,,,2 years / Unlimited Kms,,Manual,,,1,Digital,Not on offer,1,,1,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,1,5.9 meter,1,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
