Price,Fuel_Tank_Capacity,Height,Width,City_Mileage,Power,Seating_Capacity
542913,37,153,1735,12,83,5
835275,35,1537,1677,24,86,5
575000,35,1537,1677,24,86,5
610000,35,1537,1677,24,86,5
650000,35,1537,1677,24,86,5
699000,35,1537,1677,24,86,5
660000,35,1537,1677,24,86,5
749000,44,157,176,13,9,5
582287,44,157,176,19,75,5
702946,44,157,176,13,9,5
653926,44,157,176,13,9,5
672641,44,157,176,13,9,5
732475,44,157,176,19,75,5
767317,44,157,176,19,75,5
793898,44,157,176,19,9,5
855362,44,157,176,19,75,5
836320,44,157,176,19,9,5
989000,44,157,176,19,75,5
794300,4,1875,154,10,8,8
637343,4,1845,154,10,8,8
1270000,45,1487,173,11,114,5
715860,45,1494,173,17,93,5
862175,45,1494,173,17,93,5
932025,45,1494,173,17,93,5
991434,45,1487,173,11,114,5
997763,6,188,1745,12,7,7
886398,6,188,1745,12,7,7
851302,6,188,1745,12,7,7
785656,6,188,1745,12,7,7
749192,6,1977,1745,9,63,7
859497,6,1977,166,12,63.9,9
819117,48,164,179,2,9,5
762742,48,164,179,2,9,5
814742,48,164,179,2,9,5
892243,48,164,179,2,9,5
987743,48,164,179,2,9,5
1003552,48,164,179,2,9,5
1037742,48,164,179,2,9,5
864742,48,164,179,2,9,5
942243,48,164,179,2,9,5
1059742,4,1555,176,15,83,5
774035,4,1555,176,15,83,5
858536,4,1555,176,15,83,5
882298,4,1555,176,21,9,5
1090000,5,1695,1822,1,16,5
799990,5,1695,1822,1,16,5
919990,5,1695,1822,1,16,5
999990,5,1695,1822,16,85,5
929990,5,1695,1822,16,85,5
999990,5,1695,1822,16,11,5
1119990,5,1695,1822,16,11,5
1209990,5,1695,1822,16,11,5
1249990,5,1695,1822,16,11,5
999900,45,1445,1729,19,128,5
1172544,45,1445,1729,19,128,5
1172999,45,1445,1729,14,128,5
1162875,45,1445,1729,14,128,5
999000,5,1697,1751,21,85,8
863299,5,1697,1751,21,85,5
1211599,5,1697,1751,21,11,7
1211599,5,1697,1751,21,85,8
1053899,5,1697,1751,21,85,8
1130099,5,1697,1751,21,85,7
964199,55,1467,1699,12,15,5
1317500,45,1469,1682,19,11,5
1449500,45,1469,1682,17,15,5
944175,42,1666,1735,12,119,7
952900,42,1666,1735,12,119,7
1052900,42,1666,1735,12,119,7
1167900,42,1666,1735,12,119,7
1271900,42,1666,1735,12,119,7
1285900,42,1666,1735,16,1,7
1187900,42,1666,1735,16,1,7
1273900,42,1666,1735,16,1,7
974860,63,255,179,14,85,7
999000,63,255,179,14,85,5
1330000,63,255,179,14,85,7
975000,63,255,179,14,85,5
989219,6,1812,1835,18,12,9
992748,6,1812,1835,18,12,9
1029650,6,1812,1835,18,12,9
1476538,6,193,182,11,75,9
999994,8,1874,185,8,121,5
1236258,8,1874,185,9,121,5
1123158,6,1995,182,11,12,9
1220030,6,1995,182,11,12,9
1330006,6,1995,182,11,14,9
1360668,6,1995,182,11,14,9
1540081,6,1995,182,11,14,9
1663054,6,1995,182,11,14,9
1423710,55,1466,1699,18,11,5
1425599,55,1466,1699,12,15,5
1269599,55,1466,1699,18,11,5
1299599,55,1466,1699,12,15,5
1610180,7,1785,189,16,155,7
1418313,7,1785,189,16,155,7
1539488,7,1785,189,16,155,7
1588943,7,1785,189,16,155,7
1710118,7,1785,189,16,155,7
1716319,7,1785,189,16,155,7
1837586,7,1785,189,16,155,7
1741319,7,1785,189,16,155,7
1862586,7,1785,189,18,14,7
1610180,7,1785,189,16,155,7
1418313,7,1785,189,16,155,7
1539488,7,1785,189,16,155,7
1588943,7,1785,189,16,155,7
1710118,7,1785,189,16,155,7
1716319,7,1785,189,16,155,7
1837586,7,1785,189,16,155,7
1741319,7,1785,189,16,155,7
1862586,7,1785,189,16,155,7
1852488,7,1785,189,16,155,7
1973664,7,1785,189,16,155,7
1230924,6,1791,193,14,156,7
1293214,6,1791,193,14,156,6
1267208,6,1791,193,14,156,6
1303241,4,1791,193,14,156,6
1639374,6,1791,193,14,15,7
1929417,6,1791,193,14,156,7
1912593,4,1791,193,14,156,7
1796458,55,1795,183,12,15,7
1371864,55,1795,183,12,15,7
1531377,55,1795,183,12,15,8
1655587,55,1795,183,12,15,8
1605000,55,1795,183,12,15,7
1927000,55,1795,183,11,166,8
1610000,55,1795,183,11,166,7
1932000,55,1795,183,11,164,7
2113000,55,1795,183,11,15,7
1620000,55,1795,183,11,174,7
1615000,55,1795,183,11,174,8
2103000,55,1795,183,12,15,7
1807000,55,1795,183,11,166,7
1493000,55,1795,183,11,166,7
1498000,55,1795,183,12,15,7
2097000,55,1795,183,12,15,8
2036300,55,1475,1775,9,14,5
2214000,55,1475,1775,9,14,5
2499000,55,1475,1775,9,14,5
2196000,43,1475,1775,18,88.4,5
1645000,43,1475,1775,18,88.4,5
1806000,55,1475,1775,9,14,5
2515000,66,1483,1864,10,18,5
2895000,66,1483,1864,10,18,5
2995000,66,1483,1864,11,18,5
3395000,66,1483,1864,15,177,5
2599599,66,1483,1864,15,177,5
2779599,66,1483,1864,1,18,5
3099599,66,1483,1864,15,177,5
3349599,6,142,241,16,15,5
3029599,6,142,241,16,15,5
2599599,8,1835,1855,12,177,7
2849599,8,1835,1855,12,177,7
2769000,8,1835,1855,12,177,7
3191000,8,1835,1855,12,177,7
3205000,8,1835,1855,7,166,7
3019000,8,1835,1855,7,166,7
3216000,8,1835,1855,12,177,7
3395000,8,1837,1869,7,2,7
2977000,8,1837,1869,9,16,7
2818000,8,1837,1869,9,16,7
2920000,51,1612,26,18,19,5
2990000,51,1612,258,18,19,5
3420000,51,1612,258,18,19,5
3520000,51,1612,1821,15,192,5
3930000,67,1484,297,13,372,5
3850500,67,1539,297,15,19,4
4140000,64,168,1831,12,19,5
4690000,64,168,1831,12,19,5
5750000,7,1658,192,11,233,5
5990000,85,1838,1877,17,268,5
7890000,75,174,1968,9,249,7
6840000,75,174,1968,9,249,7
7221500,75,174,1968,9,249,7
8111500,65,1665,2145,12,25,5
6952964,68,1776,214,13,225,7
7246802,68,1776,214,13,225,7
7246802,68,1776,214,5,47,4
8790000,68,1776,214,13,235,7
13228725,15,183,222,5,335,7
17940227,82,1457,1899,9,274,5
10373732,83,1457,1899,9,274,5
11913021,82,146,1899,9,32,5
11936000,93,191,198,5,265,7
13387856,75,1419,1911,5,56,4
14699000,85,184,222,8,335,7
19527130,85,184,222,8,335,7
25174051,75,1353,256,4,45,4
21583466,9,1165,1924,5,61,2
23264134,9,1165,1924,5,58,2
22733626,9,1165,1924,1,61,2
32452486,9,1165,1924,5,62,2
35535000,9,1165,1933,5,61,2
40742932,78,1213,1952,3,67,2
37300000,78,1213,1952,3,67,2
36761413,9,1136,23,3,7,2
39319552,9,1136,23,3,7,2
42000000,9,1136,23,3,74,2
53210327,35,164,141,13,34.7,5
47467700,36,164,141,13,34.7,8
593361,45,1525,1687,12,68,5
680153,4,1525,174,17,1,5
599900,37,151,1745,27,75,5
699900,37,15,1745,27,75,5
664900,37,15,1745,27,75,5
764900,37,15,1745,27,75,5
746621,37,151,1745,21,83,5
868221,37,151,1745,21,83,5
668611,37,151,1745,21,83,5
807921,37,151,1745,21,83,5
758212,37,151,1745,21,83,5
890212,37,151,1745,21,83,5
636612,37,151,1745,21,83,5
768612,37,151,1745,21,83,5
558602,37,151,1745,21,83,5
697912,43,152,166,18,83,5
733412,43,152,166,18,83,5
789912,43,152,166,18,83,5
829912,43,152,166,18,83,5
586428,43,152,166,18,83,5
652328,45,1487,173,16,76,5
705538,45,1487,173,11,9,5
640537,45,1487,173,16,76,5
653452,41,1515,1695,1,99,5
751203,41,1515,1695,1,99,5
646336,41,1515,1695,18,86,5
808558,41,1515,1695,18,86,5
707025,41,1515,1695,18,86,5
836461,41,1515,1695,1,11,5
912534,41,1515,1695,18,86,5
986689,37,151,1745,21,12,5
1069689,4,161,1734,25,1,5
1120689,4,161,1734,17,9,5
887689,4,161,1734,25,1,5
788913,4,161,1734,17,9,5
1035000,4,161,1734,25,1,5
925000,4,161,1734,17,9,5
925000,4,161,1734,25,1,5
815000,4,161,1734,17,9,5
916050,4,161,1734,25,1,5
808050,6,1817,1835,18,84,7
1048050,6,1817,1835,18,84,7
935050,6,1817,1835,18,84,7
995000,6,1839,1835,18,1,7
854328,6,1839,1835,18,1,7
914328,6,1839,1835,18,1,7
976592,6,1839,1835,18,1,7
999614,48,1595,1785,23,9,5
1031943,48,1595,1785,23,9,5
1022930,48,1595,1785,23,9,5
1055259,48,1595,1785,23,9,5
949999,55,1895,185,1,95,7
1049999,55,1895,185,1,95,7
1299999,55,1895,185,11,12,7
1199999,55,1895,185,11,12,7
963037,55,1895,185,11,121,8
1529000,5,1671,1822,17,85,5
1629000,5,1671,1822,16,11,5
1629000,5,1671,1822,1,14,5
1414000,5,1671,1822,17,85,5
999900,5,1671,1822,16,11,5
1464900,5,1671,1822,17,85,5
999900,63,1922,1855,1,15,7
1235700,63,1922,1965,1,15,7
1419900,63,1922,1965,1,156,7
1235700,63,1922,1965,13,156,7
1718000,5,1465,18,13,152,5
1399000,5,1465,18,13,152,5
1499000,5,1465,18,13,152,5
1599000,5,1465,18,13,152,5
1589000,62,166,185,16,185,5
1849000,62,166,185,13,155,5
1949000,62,166,185,13,185,5
2039000,62,166,185,13,155,5
2079717,62,166,185,16,185,5
1876656,62,166,185,13,155,5
2364354,62,166,185,13,155,5
2187384,62,166,185,16,185,5
2599000,6,1458,1783,13,15,5
2899000,5,147,1857,12,18,5
4974750,43,149,176,15,98,5
4509000,6,1651,2175,21,18,5
6060000,6,1543,252,13,235,5
12500000,6,1383,187,7,431,4
8470000,64,13,1852,7,45,4
10490000,64,1299,1852,11,45,4
10250000,74,137,1895,9,57,4
13590000,73,1273,2153,5,55,2
17420000,9.5,136,1929,9,56,4
21240272,35,1475,149,18,48,5
29500000,35,1475,149,18,48,5
38845823,37,152,168,2,75,5
673350,43,152,166,15,83,5
718950,43,152,166,15,82,5
790350,43,152,166,15,82,5
804450,43,152,166,15,82,5
643769,43,152,166,19,72,5
733734,43,152,166,15,83,5
705546,43,152,166,19,75,5
782346,43,152,166,19,72,5
742033,43,152,166,19,75,5
673261,41,1525,1665,19,64,5
662880,6,188,1745,9,63,7
781686,6,188,1745,12,63,7
743504,6,188,1745,12,63,7
812964,6,191,1745,9,63,7
942263,6,191,1745,9,63,7
917055,43,1485,173,28,89,5
860720,43,1485,173,28,89,5
815883,43,1485,173,28,89,5
773678,43,1485,173,28,89,5
980689,43,1485,173,21,13,5
997689,43,1485,173,26,94,5
980689,43,1485,173,26,94,5
1058688,43,1485,173,26,94,5
1098689,55,1466,1699,12,15,5
1138189,55,1466,1699,14,11,5
997689,55,1466,1699,12,15,5
1109189,55,1466,1699,14,11,5
998599,55,1466,1699,14,11,5
1006139,55,1466,1699,12,15,5
881916,55,1466,1699,18,11,5
1129599,55,1466,1699,18,11,5
1249599,55,1466,1699,12,15,5
1243599,55,1466,1699,12,15,5
1399599,55,1466,1699,12,15,5
1273599,55,1466,1699,12,15,5
1115599,55,1466,1699,18,11,5
999599,55,1466,1699,18,11,5
1099599,55,163,178,21,9,5
1158599,55,163,178,15,123,5
1273599,55,163,178,15,123,5
980970,55,163,178,15,123,5
999990,55,163,178,15,123,5
999990,55,163,178,15,123,5
1232534,55,163,178,21,9,5
1394437,55,163,178,17,128,5
1377363,55,163,178,17,128,5
1287041,55,163,178,17,128,5
1197919,55,163,178,17,128,5
1366797,55,163,178,17,128,5
1543564,55,163,178,15,121,5
1527395,55,163,178,17,126,5
1421208,55,163,178,21,9,5
1336033,55,163,178,15,123,5
1422937,55,163,178,15,123,5
3564000,6,1464,1849,21,145,5
7784944,7,1464,186,8,19,5
3864000,7,1464,186,13,258,5
8067000,7,1464,186,15,252,5
6680000,7,1369,1894,4,45,4
6440000,72,138,242,7,55,2
10144987,93,1865,198,18,38,7
507500,6,187,185,13,1,7
594993,6,187,185,13,1,7
689993,6,187,185,13,1,7
797802,6,187,185,12,1,7
905642,6,187,185,12,1,7
18736000,45,1525,1687,15,68,5
19371000,45,1525,1687,21,76,5
95000000,45,1525,1687,21,76,5
75400000,45,1525,1687,21,76,5
5275000,5,154,174,18,65,5
5775000,5,154,174,18,65,5
13151000,5,154,174,18,12,5
19763000,7,184,1815,6,178,7
748370,7,184,1815,6,178,7
772617,7,184,1815,6,178,7
845154,7,184,1815,6,178,7
2903750,7,184,1815,6,178,7
2835500,9,1488,227,2,57,4
2992800,4,1495,1695,14,119,5
2952500,4,1495,1695,14,119,5
34167064,4,1495,1695,14,119,5
39382083,4,1495,1695,14,119,5
991000,4,1495,1695,22,1,5
1065900,4,1495,1695,22,1,5
1182000,4,1495,1695,22,1,5
1312000,4,1495,1695,22,1,5
1111000,4,1495,1695,18,119,5
1191000,4,1495,1695,14,119,5
1302000,88,19,1875,8,22,7
